"temp","humid","wind","rain","pm_grade","season","press"
3.7,37.4,1.8,0,"Moderate",1,1016.4
-0.1,50.6,3.1,0,"Moderate",1,1003.9
6.3,34.9,2.1,0,"Moderate",1,1012.3
9.1,34,2.2,0,"Bad",1,1009.8
11.4,45.6,2.1,0,"Bad",1,1012.1
16.5,25.8,2.8,0,"Moderate",1,1001.5
13.1,56.5,2,0,"Moderate",1,1000.9
20.1,50.8,1.9,0,"Bad",1,1005.9
15.7,58.3,3.7,0,"Good",1,999.2
19.2,45.6,3.4,0,"Good",1,994.9
21.7,36.9,2.6,0,"Good",0,1001.4
25.5,55.8,2.2,0,"Bad",0,999.3
23.1,76.9,2.2,1,"Moderate",0,997.3
27.4,66.9,1.5,0,"Moderate",0,1000
27.1,75.9,2.3,0,"Moderate",0,1000.2
29.9,66.1,2.2,0,"Bad",0,996.6
25.5,92.1,1.5,1,"Moderate",0,998
31.4,63,1.9,0,"Moderate",0,993.4
24.6,67.5,3.6,1,"Good",0,996.2
24.2,54.5,2,0,"Good",0,1003.8
22.4,73.3,1.4,0,"Moderate",0,997.9
22.4,48.8,1.7,0,"Good",0,1009.3
20.3,57.3,1.6,0,"Moderate",0,1004
20,64.9,1.5,0,"Moderate",0,1011.1
21.4,76.9,1.3,1,"Moderate",0,1008.2
16.5,58.8,2.4,1,"Good",0,1012.9
14.5,56.5,1.2,0,"Moderate",0,1011.3
11.4,64.5,1.5,0,"Moderate",0,1014.2
3.2,38.3,2.8,0,"Good",0,1011.3
0.9,49.3,2.1,1,"Good",0,1009.8
-2.2,49.4,1.6,0,"Good",1,1019.9
-9.4,41.9,2.1,0,"Moderate",1,1019.3
3.4,66.6,1.1,0,"Bad",1,1015.3
2.1,67,1.1,0,"Bad",1,1016.1
-3,48.4,1.7,0,"Bad",1,1010.3
0.6,64.1,1.2,0,"Bad",1,1017.9
0.2,56.5,1.5,1,"Moderate",1,1005.2
-5.3,62,1.3,1,"Moderate",1,1014.7
0.4,43.9,1.1,0,"Bad",1,1011.8
-3,25.6,2.9,0,"Good",1,1014.1
2.4,49.4,2.1,0,"Bad",1,1016.8
7.9,38.1,1.5,0,"Moderate",1,1003.7
4.6,65.8,2,0,"Moderate",1,1013.4
8.2,55.9,1.2,1,"Bad",1,1010.7
14,66.4,2.2,0,"Bad",1,1006.6
15.1,51,3.5,1,"Moderate",1,1000
18.4,46,1.3,0,"Bad",1,1009.3
16.2,43.1,1.9,0,"Moderate",1,1003.4
17.5,50.9,1.7,0,"Good",1,1003.9
23.2,56.4,1.1,0,"Bad",1,1000
18.3,47.4,2.2,0,"Moderate",1,999.5
20.9,58.9,1.9,0,"Moderate",1,1001.4
22.2,69.3,2,0,"Moderate",0,1001.7
21.6,74.9,1.1,1,"Moderate",0,997.7
25,45.1,1.8,0,"Moderate",0,998.3
27.3,69.6,1.7,0,"Good",0,988.1
26.6,82.4,1.5,1,"Moderate",0,1003.4
30.1,66.3,2.4,0,"Moderate",0,997.5
31.1,60.6,2.4,0,"Moderate",0,998.2
31,55.8,1.5,0,"Good",0,995.3
29.1,55.6,2,0,"Moderate",0,995.3
25.3,80.9,1.8,1,"Moderate",0,999.2
22,54.6,2.5,1,"Good",0,995.7
23.5,66.9,1.3,1,"Good",0,1005.6
20.8,62.3,1.8,1,"Good",0,1004.6
15.4,55.1,2.9,0,"Good",0,997.9
9.7,51,2.1,0,"Good",0,1012.5
12.7,59.5,1.1,0,"Good",0,1010
13.8,55.5,0.9,0,"Moderate",0,1010.1
12.2,70.5,0.9,0,"Bad",0,1014.7
8.8,51.6,1.1,0,"Moderate",0,1009.6
6.5,39.9,1.8,1,"Moderate",0,1014.4
5.5,42.3,1,0,"Moderate",1,1016.6
-1.9,39,2.2,0,"Moderate",1,1018.8
-2.3,35.9,1.6,0,"Good",1,1017
-1.1,55.5,1.2,0,"Bad",1,1019.5
1.4,68.6,0.9,0,"Very_bad",1,1014.8
1.7,62,1.7,0,"Moderate",1,1008.6
-0.2,35.5,1.5,0,"Moderate",1,1016.9
5.1,54.9,1.3,0,"Moderate",1,1005.6
0.9,43.5,1.3,0,"Moderate",1,1014.7
4.7,55.8,2.3,0,"Bad",1,1011.1
6.1,39.4,1.9,0,"Moderate",1,1014.3
5.5,72.8,1.6,1,"Moderate",1,1006.8
3.3,40.9,2.8,0,"Moderate",1,1009.4
4.4,46,3.2,0,"Moderate",1,1008.7
11.6,25.6,2.5,0,"Good",1,1004.7
14.8,77.8,1.9,1,"Moderate",1,1003.4
12.9,48.8,1.6,0,"Good",1,1010.2
15,33.4,2.3,0,"Moderate",1,1005.7
22.8,46.8,2.1,0,"Moderate",1,1001.8
20.3,48.4,2,0,"Moderate",1,999.7
21.2,75.9,1.2,1,"Bad",0,999.9
21.9,61.5,2.4,1,"Moderate",0,990.5
24.7,67.3,1.7,0,"Moderate",0,991.9
21.9,76.9,1.3,1,"Good",0,995.2
26.9,65,1.2,0,"Bad",0,998.7
26.3,90.1,1.2,1,"Moderate",0,994.6
28.4,74.6,1.2,0,"Good",0,1001.8
29.8,69,1.3,0,"Moderate",0,997.7
25.6,66.5,1.7,0,"Good",0,996.9
25,66.6,1.5,0,"Good",0,1002.8
24.1,67.6,2.3,0,"Good",0,1005.3
24.3,71.4,3.1,1,"Good",0,1004.6
20,51.1,2.2,0,"Good",0,1004.4
22.4,61,1.6,0,"Moderate",0,1006.8
14.7,58.8,2.6,0,"Good",0,1008.2
17,63.8,1.8,0,"Good",0,1010.4
12.9,65.9,2.5,1,"Moderate",0,1005.3
11,63.6,1.8,0,"Moderate",0,1006.6
0.2,48,2.8,0,"Good",0,1015.5
4.1,42.6,1.7,0,"Moderate",0,1018
-0.7,45.4,1.8,0,"Good",1,1018
3.4,80.4,2,1,"Bad",1,1011.5
2.7,70.3,2.9,1,"Moderate",1,1013
-0.1,60.9,1.9,0,"Bad",1,1009.4
3,36,1.7,0,"Moderate",1,1014.6
6,46.4,2.1,0,"Good",1,1005.3
-8.3,37.3,3.3,0,"Good",1,1021
7.4,73.4,2.2,1,"Moderate",1,1006.4
6.7,73.5,4.2,1,"Good",1,1007.4
4.8,57,2.6,0,"Moderate",1,1013.3
6.8,49.8,2.5,0,"Good",1,1010.9
11.4,35,1.8,0,"Moderate",1,1009.8
11.3,35.6,3.7,0,"Moderate",1,1004.5
8.9,44.6,2.8,0,"Moderate",1,1011.5
16,39.9,2.3,0,"Moderate",1,1006.1
14.9,48.6,2.6,0,"Moderate",1,1009
19.9,32.8,2.4,1,"Good",1,1004.4
16.1,81.4,3,1,"Good",1,998.8
18.5,68.5,1.9,0,"Moderate",1,1002.7
19.7,64.3,3.4,1,"Good",0,999.7
26.7,51.6,2.3,0,"Moderate",0,1004.3
24.7,61.4,2.1,1,"Good",0,996.4
23.8,77,2.4,1,"Moderate",0,991.8
25.8,62.6,2.6,0,"Good",0,997.5
25,77,1.6,0,"Moderate",0,1001.8
24.4,84.8,2,1,"Good",0,1000.5
